time_posted,keyword,skills,company,country
11/02/2024,Backend developer,Laravel,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,HTTP,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,JSON,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,REST API,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,Git,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,Bug Tracking Systems,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,BrowserStack,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,Technical support for users,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,Setting up network connections,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,Providing antivirus protection,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,Network equipment administration,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,Russian — C2 — Perfect,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,Uzbek - C1 - Advanced,OOO IPLUS,Uzbekistan
11/04/2024,Backend developer,Node.js,IOTA (OOO BEFORMED) ,Uzbekistan
11/04/2024,Backend developer,TypeScript,IOTA (OOO BEFORMED) ,Uzbekistan
11/04/2024,Backend developer,Golang,IOTA (OOO BEFORMED) ,Uzbekistan
11/04/2024,Backend developer,Python,IOTA (OOO BEFORMED) ,Uzbekistan
11/04/2024,Backend developer,English - B2 - Intermediate-Advanced,IOTA (OOO BEFORMED) ,Uzbekistan
11/04/2024,Backend developer,Russian - B1 - Intermediate,IOTA (OOO BEFORMED) ,Uzbekistan
11/04/2024,Frontend developer,nan,SATashkent ,Uzbekistan
11/03/2024,Frontend developer,nan,ООО SUMIT GLOBAL INC,Uzbekistan
11/02/2024,Frontend developer,JavaScript,OOO SMARTTECH SOFT,Uzbekistan
11/02/2024,Frontend developer,Vue,OOO SMARTTECH SOFT,Uzbekistan
11/02/2024,Frontend developer,HTML5,OOO SMARTTECH SOFT,Uzbekistan
11/02/2024,Frontend developer,CSS3,OOO SMARTTECH SOFT,Uzbekistan
11/02/2024,Frontend developer,nan,LLC SD Solutions,Uzbekistan
11/02/2024,Data analyst,nan,Korzinka (Anglesey food) ,Uzbekistan
11/02/2024,Data analyst,nan,Korzinka (Anglesey food) ,Uzbekistan
11/04/2024,Data analyst,Russian — C2 — Perfect,IP OOO Finserv Tech,Uzbekistan
11/04/2024,Data engineer,Python,INFODECS LLC,Uzbekistan
11/04/2024,Data engineer,SQL,INFODECS LLC,Uzbekistan
11/04/2024,Data engineer,Amazon Web Services,INFODECS LLC,Uzbekistan
11/04/2024,Data engineer,GCP - cloud,INFODECS LLC,Uzbekistan
11/04/2024,Data engineer,Azure - cloud,INFODECS LLC,Uzbekistan
11/02/2024,Data engineer,nan,Korzinka (Anglesey food) ,Uzbekistan
11/02/2024,Data engineer,Python,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,DWH,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,PostgresSQL,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,CRM,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,ERP,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,SQL,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,ETL,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,PowerBI,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,PostgreSQL,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,Power BI,LATOKEN ,Uzbekistan
11/02/2024,Data engineer,ML,LATOKEN ,Uzbekistan
11/04/2024,Android developer,Java,АО PAYME,Uzbekistan
11/04/2024,Android developer,Android SDK,АО PAYME,Uzbekistan
11/04/2024,Android developer,Kotlin,АО PAYME,Uzbekistan
11/04/2024,Android developer,Android,АО PAYME,Uzbekistan
11/04/2024,Android developer,Git,АО PAYME,Uzbekistan
11/04/2024,DevOps engineer,nan,TBC ,Uzbekistan
11/03/2024,IT project manager,nan,OOO Amedia Online Group,Uzbekistan
11/04/2024,Network engineer,Network equipment administration,SP OOO IST TELEKOM,Uzbekistan
11/04/2024,Network engineer,Engineering infrastructure and networks,SP OOO IST TELEKOM,Uzbekistan
11/04/2024,Network engineer,Cisco,SP OOO IST TELEKOM,Uzbekistan
11/04/2024,Network engineer,CCNA,SP OOO IST TELEKOM,Uzbekistan
11/04/2024,Network engineer,Russian — B2 — Intermediate-advanced,SP OOO IST TELEKOM,Uzbekistan
11/04/2024,Network engineer,English - B2 - Intermediate-Advanced,SP OOO IST TELEKOM,Uzbekistan
11/04/2024,Network engineer,Setting up network connections,OOOO Your Digitality,Uzbekistan
11/04/2024,Network engineer,Network equipment administration,OOOO Your Digitality,Uzbekistan
11/04/2024,Network engineer,Maintenance,OOOO Your Digitality,Uzbekistan
11/04/2024,Network engineer,Software Setup,OOOO Your Digitality,Uzbekistan
11/04/2024,Network engineer,Information security,OOOO Your Digitality,Uzbekistan
11/04/2024,Network engineer,Setting up servers,OOOO Your Digitality,Uzbekistan
11/04/2024,Network engineer,English language,OOOO Your Digitality,Uzbekistan
11/04/2024,Full stack developer,.NET Core,OOO UZINFOCOM,Uzbekistan
11/04/2024,Full stack developer,.NET Framework,OOO UZINFOCOM,Uzbekistan
11/04/2024,Full stack developer,Angular,OOO UZINFOCOM,Uzbekistan
11/04/2024,Full stack developer,C#,OOO UZINFOCOM,Uzbekistan
11/04/2024,Full stack developer,TypeScript,3205.team ,Uzbekistan
11/04/2024,Full stack developer,React.js,3205.team ,Uzbekistan
11/04/2024,Full stack developer,VueJS,3205.team ,Uzbekistan
11/04/2024,Full stack developer,PHP,3205.team ,Uzbekistan
11/04/2024,Full stack developer,JavaScript,3205.team ,Uzbekistan
11/04/2024,Full stack developer,Laravel,3205.team ,Uzbekistan
